Message,ID,ProviderName,LogName,MachineName,TimeCreated,ContainerLog,LevelDisplayName,CreatedDate
The processing of Group Policy failed. Windows could not obtain the name of a domain controller. This could be caused by a name resolution failure. Verify your Domain Name System (DNS) is configured and working correctly.,1054,Microsoft-Windows-GroupPolicy,System,HC1DBSQ27PV,2025-11-14 06:32:28,System,Error,2025-11-14 09:37:48.447000000
Microsoft Windows Server has detected that NTLM authentication is presently being used between clients and this server. This event occurs once per boot of the server on the first time a client uses NTLM with this server. NTLM is a weaker authentication mechanism. Please check:       Which applications are using NTLM authentication?      Are there configuration issues preventing the use of stronger authentication such as Kerberos authentication?      If NTLM must be supported is Extended Protection configured? Details on how to complete these checks can be found at http://go.microsoft.com/fwlink/?LinkId=225699.,6038,LsaSrv,System,HC1DBSQ64PV,2025-11-14 00:50:34,System,Warning,2025-11-14 09:37:48.453000000
A timeout (30000 milliseconds) was reached while waiting for a transaction response from the 1EClient service.,7011,Service Control Manager,System,HC1DBSQ53PV,2025-11-14 04:12:30,System,Error,2025-11-14 09:37:48.453000000
The server {338B40F9-9D68-4B53-A793-6B9AA0C5F63B} did not register with DCOM within the required timeout.,10016,Microsoft-Windows-DistributedCOM,System,HC1DBSQ21PV,2025-11-14 08:48:16,System,Error,2025-11-14 09:37:48.457000000
A provider WPJProvider has been registered in the Windows Management Instrumentation namespace root\CCM\CIModels to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.,63,Microsoft-Windows-WMI,Application,AWSDBSQ62PV,2025-11-14 12:43:29,Application,Warning,2025-11-14 09:37:48.457000000
wmiprvse (9228D50) SoftwareUsageMetrics-Prv: Flush map file "C:\Windows\system32\LogFiles\Sum\{BD3B2A83-941E-4CE1-AC5B-47A8CEB2CA75}.jfm" will be deleted. Reason: ReadHdrFailed.,640,ESENT,Application,AWSDBSQ62PV,2025-11-14 20:49:07,Application,Warning,2025-11-14 09:37:48.457000000
The processing of Group Policy failed. Windows attempted to retrieve new Group Policy settings for this user or computer. Look in the details tab for error code and description. Windows will automatically retry this operation at the next refresh cycle. Computers joined to the domain must have proper name resolution and network connectivity to a domain controller for discovery of new Group Policy objects and settings. An event will be logged when Group Policy is successful.,1030,Microsoft-Windows-GroupPolicy,System,HC1DBSQ53PV,2025-11-14 06:32:55,System,Error,2025-11-14 09:37:48.457000000
The connection has been dropped because the principal that opened it subsequently assumed a new security context and then tried to reset the connection under its impersonated security context. This scenario is not supported. See "Impersonation Overview" in Books Online.,18059,MSSQLSERVER,Application,AWSDBSQ51PV,2025-11-14 22:06:50,Application,Error,2025-11-14 09:37:48.457000000
The previous system shutdown at 3:14:24 AM on ?11/?1/?2025 was unexpected.,6008,EventLog,System,HC1DBSQ45PV,2025-11-14 03:15:29,system,Error,2025-11-14 09:37:48.460000000
The Kerberos client received a KRB_AP_ERR_MODIFIED error from the server hc1dbsq36pv$. The target name used was HTTP/HC1DBSQ36Pv.thecarlylegroup.local. This indicates that the target server failed to decrypt the ticket provided by the client. This can occur when the target server principal name (SPN) is registered on an account other than the account the target service is using. Ensure that the target SPN is only registered on the account used by the server. This error can also happen if the target service account password is different than what is configured on the Kerberos Key Distribution Center for that target service. Ensure that the service on the server and the KDC are both configured to use the same password. If the server name is not fully qualified and the target domain (THECARLYLEGROUP.LOCAL) is different from the client domain (TCG.COM) check if there are identically named server accounts in these two domains or use the fully-qualified name to identify the server.,4,Microsoft-Windows-Security-Kerberos,System,HC1DBSQ36Pv,2025-11-14 17:13:58,System,Error,2025-11-14 09:37:48.460000000
The WinRM service is not listening for WS-Management requests.  User Action  If you did not intentionally stop the service use the following command to see the WinRM configuration:  winrm enumerate winrm/config/listener,10149,Microsoft-Windows-WinRM,System,AWSDBSQ51PV,2025-11-14 21:51:56,System,Warning,2025-11-14 09:37:48.460000000
Certificate for local system with Thumbprint e0 43 e6 0d 5d bf 60 6d 33 06 95 e0 02 e7 54 71 eb 68 2f 40 is about to expire or already expired.,64,Microsoft-Windows-CertificateServicesClient-AutoEnrollment,Application,HC1DBSQ55Pv,2025-11-14 17:57:02,application,Warning,2025-11-14 09:37:48.460000000
Current server is unaccessible switching to a failover host; current='dr1siem22p.thecarlylegroup.local' failover='awssiem1pv.thecarlylegroup.local',206,syslog-ng Agent,Application,AWSDBSQ51PV,2025-11-14 00:08:19,Application,Warning,2025-11-14 09:37:48.460000000
PausingBindingUntilAfterCheckin.242.ThreatLockerService;Service Failed to bind on previous start,0,ThreatLockerService,Application,LD5AIDBSQ01PV,2025-11-14 03:03:19,Application,Error,2025-11-14 09:37:48.460000000
The browser service was unable to retrieve a list of servers from the browser master \\HC1DBSQ90DV on the network \Device\NetBT_Tcpip_{7584C56A-E2FA-44C3-808B-D05891E6EF80}.  Browser master: \\HC1DBSQ90DV Network: \Device\NetBT_Tcpip_{7584C56A-E2FA-44C3-808B-D05891E6EF80}  This event may be caused by a temporary loss of network connectivity. If this message appears again verify that the server is still connected to the network. The return code is in the Data text box.,8021,BROWSER,System,HC1DBSQ21PV,2025-11-14 08:50:15,System,Warning,2025-11-14 09:37:48.463000000
Encryption is required to connect to this server but the client library does not support encryption; the connection has been closed. Please upgrade your client library. [CLIENT: 10.13.5.37],17835,MSSQLSERVER,Application,HC1DBSQ39PV,2025-11-14 12:21:04,Application,Error,2025-11-14 09:37:48.463000000
