Date,Servername,WAITTYPE,WAIT_S,RESOURCE_S,SIGNAL_S,WAIT_Count,Percentage,AvgWait_s,AvgRes_S,AvgSig_S
2025-11-18,HC1DBSQ33DV,PREEMPTIVE_OS_WRITEFILE,83.08000,83.08000,.00000,33984.00000,1.48,2.3999999999999998E-3,.00240,.00000
2025-11-18,HC1DBSQ33DV,PARALLEL_REDO_WORKER_WAIT_WORK,71.80000,56.28000,15.52000,5106.00000,1.28,0.0141,.01100,.00300
2025-11-18,HC1DBSQ33DV,PREEMPTIVE_XE_GETTARGETSTATE,69.11000,69.11000,.00000,9605.00000,1.23,7.1999999999999998E-3,.00720,.00000
2025-11-18,HC1DBSQ33DV,BACKUPTHREAD,60.79000,60.76000,.04000,1979.00000,1.0800000000000001,3.0700000000000002E-2,.03070,.00000
2025-11-18,HC1DBSQ33DV,LATCH_EX,53.28000,46.03000,7.25000,96048.00000,0.94999999999999996,5.9999999999999995E-4,.00050,.00010
2025-11-18,HC1DBSQ33PV,CXPACKET,287674.32000,260227.70000,27446.61000,1128690786.00000,42.460000000000001,2.9999999999999997E-4,.00020,.00000
2025-11-18,HC1DBSQ33PV,CXCONSUMER,249519.67000,245715.19000,3804.48000,75578305.00000,36.829999999999998,0.0033,.00330,.00010
2025-11-18,HC1DBSQ33PV,BACKUPIO,36951.50000,36605.23000,346.27000,26919234.00000,5.4500000000000002,0.0014,.00140,.00000
2025-11-18,HC1DBSQ33PV,BACKUPBUFFER,21631.44000,21564.43000,67.01000,1829910.00000,3.1899999999999999,0.0118,.01180,.00000
2025-11-18,HC1DBSQ33PV,ASYNC_IO_COMPLETION,19055.04000,19055.03000,.01000,346.00000,2.8100000000000001,55.072400000000002,55.07230,.00000
2025-11-18,HC1DBSQ33PV,BACKUPTHREAD,14840.32000,14839.75000,.57000,17035.00000,2.1899999999999999,0.87119999999999997,.87110,.00000
2025-11-18,HC1DBSQ33PV,IO_COMPLETION,13764.27000,13614.04000,150.23000,30559564.00000,2.0299999999999998,5.0000000000000001E-4,.00040,.00000
2025-11-18,HC1DBSQ33PV,LATCH_EX,11309.26000,10127.86000,1181.40000,7269522.00000,1.6699999999999999,1.6000000000000001E-3,.00140,.00020
2025-11-18,HC1DBSQ33QV,CXPACKET,23337.37000,20149.56000,3187.81000,107715251.00000,61.039999999999999,2.0000000000000001E-4,.00020,.00000
2025-11-18,HC1DBSQ33QV,CXCONSUMER,9533.53000,8657.20000,876.33000,20471735.00000,24.93,5.0000000000000001E-4,.00040,.00000
2025-11-18,HC1DBSQ33QV,WRITELOG,1701.80000,1668.47000,33.33000,1171763.00000,4.4500000000000002,0.0015,.00140,.00000
2025-11-18,HC1DBSQ33QV,LATCH_EX,1418.25000,1250.38000,167.87000,1309239.00000,3.71,1.1000000000000001E-3,.00100,.00010
2025-11-18,HC1DBSQ33QV,ASYNC_NETWORK_IO,1095.30000,1091.19000,4.11000,253817.00000,2.8599999999999999,0.0043,.00430,.00000
2025-11-18,HC1DBSQ33UV,CXPACKET,12455.96000,11210.57000,1245.40000,48532312.00000,60.340000000000003,2.9999999999999997E-4,.00020,.00000
2025-11-18,HC1DBSQ33UV,CXCONSUMER,5094.44000,4909.21000,185.23000,5078263.00000,24.68,0.001,.00100,.00000
2025-11-18,HC1DBSQ33UV,ASYNC_NETWORK_IO,907.23000,906.03000,1.20000,58700.00000,4.3899999999999997,0.0155,.01540,.00000
