Datetime,server name,ApplicationName,max CPU utilization,CPUUtilizationDate,max Memory Utilization,MemoryUtilizationDate,Wait type,Wait time(ms),Most expensive query by cpu,Most expensive query by cpu  URL,Most expensive query by physical reads,Most expensive query by physical reads URL ,JobsURL,Cach Hit Ratio
4/29/2025,HC1DBSQ21PV,"AD Sync,SCCM,VAMT",35,01:23.8,100,09:51.7,SOS_SCHEDULER_YIELD,90102,"SELECT TOP 1 @last_internal_table_name = internal_table_name,
			@last_start_time = start_time, 
			@last_end_time = end_time,
			@last_rows_cleaned_up = rows_cleaned_up,
			@last_cleanup_version = cleanup_version,
			@last_comments = comments 
			F",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/ad8b1660-b508-49d8-891e-5bbe8884951a?experience=power-bi&subfolderId=30544,UPDATE [DiscItemAgents] set [AgentTime] = @1  WHERE [ItemKey]=@2 AND [DiscArchKey]=@3 AND [AgentID]=@4 AND [AgentSite]=@,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/61c2400c-838a-4d56-996c-ca67513d38f5?experience=power-bi&subfolderId=30544,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/7094378a-6b59-40ff-8410-fb447f160c0e?experience=power-bi&subfolderId=30544,100
4/29/2025,HC1DBSQ21PV,"AD Sync,SCCM,VAMT",35,01:23.8,100,09:51.7,WRITELOG,419133,"SELECT TOP 1 @last_internal_table_name = internal_table_name,
			@last_start_time = start_time, 
			@last_end_time = end_time,
			@last_rows_cleaned_up = rows_cleaned_up,
			@last_cleanup_version = cleanup_version,
			@last_comments = comments 
			F",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/ad8b1660-b508-49d8-891e-5bbe8884951a?experience=power-bi&subfolderId=30544,UPDATE [DiscItemAgents] set [AgentTime] = @1  WHERE [ItemKey]=@2 AND [DiscArchKey]=@3 AND [AgentID]=@4 AND [AgentSite]=@,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/61c2400c-838a-4d56-996c-ca67513d38f5?experience=power-bi&subfolderId=30544,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/7094378a-6b59-40ff-8410-fb447f160c0e?experience=power-bi&subfolderId=30544,100
4/29/2025,HC1DBSQ26PV,"BusRule,Carlyle,Citrix,Confluence,Credant,CTX,Default_lab_project,EMS,Heat,Infra Reporting,IT_INFRA_REPORTING,jira,Lansweeper,M365,Netwrix,QualityCenter,SEP,SNTRSRV,Symantec",9,01:35.7,98,09:52.9,WRITELOG,35989,SELECT COUNT(*) AS total FROM (SELECT * FROM web50repnotlatestbuildwin10) tmptabl,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/99df2478-f3d8-4f24-9785-9a404a08f0e4?experience=power-bi&subfolderId=30544,"select severity, count(severity) from alerts where resolve_id = @P0 and create_date < @P1 group by severity order by severit",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/fbc8d6fb-2a40-41ee-abd4-abf0a9481936?experience=power-bi&subfolderId=30544,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/e425b03d-7014-4add-8049-02b82d112cf5?experience=power-bi&subfolderId=30544,100
4/29/2025,HC1DBSQ31PV,,0,01:46.4,100,09:53.5,PREEMPTIVE_OS_LOOKUPACCOUNTSID,48,"SELECT event_data FROM sys.fn_xe_file_target_read_file('L:\ProgramData\ApexSQL\ApexSQLAudit\Auditing\MSSQLSERVER\ActiveSessions\ApexSQLAudit_0_133895820274960000.xel', null, null, null",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/e02aeda1-e387-4310-93a2-42c3cfd79b14?experience=power-bi&subfolderId=30544,select * from [dbo].[DIVFS,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/59a67bf6-89f1-452c-a854-6d618a93c94b?experience=power-bi&subfolderId=30544,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/116f82e0-7ca8-46b3-a72e-cd9390d2c80b?experience=power-bi&subfolderId=30544,100
4/29/2025,HC1DBSQ31PV,,0,01:46.4,100,09:53.5,PREEMPTIVE_XE_GETTARGETSTATE,188,"SELECT event_data FROM sys.fn_xe_file_target_read_file('L:\ProgramData\ApexSQL\ApexSQLAudit\Auditing\MSSQLSERVER\ActiveSessions\ApexSQLAudit_0_133895820274960000.xel', null, null, null",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/e02aeda1-e387-4310-93a2-42c3cfd79b14?experience=power-bi&subfolderId=30544,select * from [dbo].[DIVFS,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/59a67bf6-89f1-452c-a854-6d618a93c94b?experience=power-bi&subfolderId=30544,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/116f82e0-7ca8-46b3-a72e-cd9390d2c80b?experience=power-bi&subfolderId=30544,100
4/29/2025,HC1DBSQ31PV,,0,01:46.4,100,09:53.5,XE_FILE_TARGET_TVF,800,"SELECT event_data FROM sys.fn_xe_file_target_read_file('L:\ProgramData\ApexSQL\ApexSQLAudit\Auditing\MSSQLSERVER\ActiveSessions\ApexSQLAudit_0_133895820274960000.xel', null, null, null",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/e02aeda1-e387-4310-93a2-42c3cfd79b14?experience=power-bi&subfolderId=30544,select * from [dbo].[DIVFS,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/59a67bf6-89f1-452c-a854-6d618a93c94b?experience=power-bi&subfolderId=30544,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/116f82e0-7ca8-46b3-a72e-cd9390d2c80b?experience=power-bi&subfolderId=30544,100
4/29/2025,HC1DBSQ54PV,"BICentral,CXA,DAS,DCA,ESG,IAR,ILM,PAL,SCA,VDS,VTP",31,02:37.5,100,09:58.6,IO_COMPLETION,764903,SELECT TOP 1 DR.TemplateSubmissionID FROM dbo.DocumentRelay DR JOIN vw_CxData_Document D ON D.DocumentID = DR.DocumentID WHERE DR.EntityID = @CompanyID AND DR.EntityTypeID = 2 AND DR.PeriodEnd = @PeriodEnd AND DR.documentType = 'valuation' AND (D.Deleted,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/91ee69a9-e73a-4ca6-9d8e-9672af36f5ad?experience=power-bi&subfolderId=30544,"delete top (1000000)  FROM  [CxData_ScheduledTask_history]
WHERE ISJSON(JsonData) > 0
       AND JSON_VALUE(JsonData, '$.id') IS NOT NULL
       and CONVERT(DATE, JSON_VALUE(JsonData, '$.date'))<'2021-12-31",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/8a03e22f-f527-4fa3-b40d-08064ae3932d?experience=power-bi&subfolderId=30544,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/d3dc2beb-06fd-418b-8646-d66454a3c22e?experience=power-bi&subfolderId=30544,99
4/29/2025,HC1DBSQ54PV,"BICentral,CXA,DAS,DCA,ESG,IAR,ILM,PAL,SCA,VDS,VTP",31,02:37.5,100,09:58.6,LATCH_EX,2447778,SELECT TOP 1 DR.TemplateSubmissionID FROM dbo.DocumentRelay DR JOIN vw_CxData_Document D ON D.DocumentID = DR.DocumentID WHERE DR.EntityID = @CompanyID AND DR.EntityTypeID = 2 AND DR.PeriodEnd = @PeriodEnd AND DR.documentType = 'valuation' AND (D.Deleted,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/91ee69a9-e73a-4ca6-9d8e-9672af36f5ad?experience=power-bi&subfolderId=30544,"delete top (1000000)  FROM  [CxData_ScheduledTask_history]
WHERE ISJSON(JsonData) > 0
       AND JSON_VALUE(JsonData, '$.id') IS NOT NULL
       and CONVERT(DATE, JSON_VALUE(JsonData, '$.date'))<'2021-12-31",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/8a03e22f-f527-4fa3-b40d-08064ae3932d?experience=power-bi&subfolderId=30544,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/d3dc2beb-06fd-418b-8646-d66454a3c22e?experience=power-bi&subfolderId=30544,99
4/29/2025,HC1DBSQ54PV,"BICentral,CXA,DAS,DCA,ESG,IAR,ILM,PAL,SCA,VDS,VTP",31,02:37.5,100,09:58.6,LCK_M_X,1576018,SELECT TOP 1 DR.TemplateSubmissionID FROM dbo.DocumentRelay DR JOIN vw_CxData_Document D ON D.DocumentID = DR.DocumentID WHERE DR.EntityID = @CompanyID AND DR.EntityTypeID = 2 AND DR.PeriodEnd = @PeriodEnd AND DR.documentType = 'valuation' AND (D.Deleted,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/91ee69a9-e73a-4ca6-9d8e-9672af36f5ad?experience=power-bi&subfolderId=30544,"delete top (1000000)  FROM  [CxData_ScheduledTask_history]
WHERE ISJSON(JsonData) > 0
       AND JSON_VALUE(JsonData, '$.id') IS NOT NULL
       and CONVERT(DATE, JSON_VALUE(JsonData, '$.date'))<'2021-12-31",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/8a03e22f-f527-4fa3-b40d-08064ae3932d?experience=power-bi&subfolderId=30544,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/d3dc2beb-06fd-418b-8646-d66454a3c22e?experience=power-bi&subfolderId=30544,99
4/29/2025,HC1DBSQ54PV,"BICentral,CXA,DAS,DCA,ESG,IAR,ILM,PAL,SCA,VDS,VTP",31,02:37.5,100,09:58.6,OLEDB,416479,SELECT TOP 1 DR.TemplateSubmissionID FROM dbo.DocumentRelay DR JOIN vw_CxData_Document D ON D.DocumentID = DR.DocumentID WHERE DR.EntityID = @CompanyID AND DR.EntityTypeID = 2 AND DR.PeriodEnd = @PeriodEnd AND DR.documentType = 'valuation' AND (D.Deleted,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/91ee69a9-e73a-4ca6-9d8e-9672af36f5ad?experience=power-bi&subfolderId=30544,"delete top (1000000)  FROM  [CxData_ScheduledTask_history]
WHERE ISJSON(JsonData) > 0
       AND JSON_VALUE(JsonData, '$.id') IS NOT NULL
       and CONVERT(DATE, JSON_VALUE(JsonData, '$.date'))<'2021-12-31",https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/8a03e22f-f527-4fa3-b40d-08064ae3932d?experience=power-bi&subfolderId=30544,https://app.powerbi.com/groups/02bf9e72-06fa-4b13-bc8c-86702cd0105d/rdlreports/d3dc2beb-06fd-418b-8646-d66454a3c22e?experience=power-bi&subfolderId=30544,99
